id,species,order,digestive_habitat_type,diet,surrounding_habitat,category
MVB2015-4956,hypsiboas albomarginatus,anura,intestine,carnivore,freshwater,1
MVB2015-4958,hypsiboas faber,anura,intestine,carnivore,freshwater,1
MVB2015-4962,hypsiboas albomarginatus,anura,intestine,carnivore,freshwater,1
MVB2015-4974,scinax hayii,anura,intestine,carnivore,freshwater,1
MVB2015-5082,hylodes phyllodes,anura,intestine,carnivore,freshwater,1
MVB2015-5086,hylodes phyllodes,anura,intestine,carnivore,freshwater,1
MVB2015-5090,hylodes asper,anura,intestine,carnivore,freshwater,1
MVB2015-5114,scinax littoralis,anura,intestine,carnivore,freshwater,1
MVB2015-5121,hypsiboas albomarginatus,anura,intestine,carnivore,freshwater,1
MVB2015-5131,hypsiboas albomarginatus,anura,intestine,carnivore,freshwater,1
MVB2015-5143,hypsiboas albomarginatus,anura,intestine,carnivore,freshwater,1
MVB2015-5145,hypsiboas albomarginatus,anura,intestine,carnivore,freshwater,1
MVB2015-5162,hypsiboas albomarginatus,anura,intestine,carnivore,freshwater,1
Tad.I.002,boophis sp,anura,intestine,carnivore,freshwater,1
Tad.I.004,boophis sp,anura,intestine,carnivore,freshwater,1
Tad.I.010,boophis sp,anura,intestine,carnivore,freshwater,1
Tad.I.014,boophis sp,anura,intestine,carnivore,freshwater,1
Tad.I.061,boophis sp,anura,intestine,carnivore,freshwater,1
Tad.I.073,boophis sp,anura,intestine,carnivore,freshwater,1
940.P.04.Fecal,gila robusta,cypriniformes,fecal,carnivore,freshwater,1
940.P.01.Fecal,gila robusta,cypriniformes,fecal,carnivore,freshwater,1
940.P.02.Fecal,gila robusta,cypriniformes,fecal,carnivore,freshwater,1
940.F.01,catostomus sp,cypriniformes,fecal,detritivore_scavenger,freshwater,1
940.P.03.Fecal,catostomus sp,cypriniformes,fecal,detritivore_scavenger,freshwater,1
940.CR.54.Fecal,catostomus sp,cypriniformes,fecal,detritivore_scavenger,freshwater,1
940.CR.58.Fecal,catostomus sp,cypriniformes,fecal,detritivore_scavenger,freshwater,1
940.CR.47.Fecal,catostomus sp,cypriniformes,fecal,detritivore_scavenger,freshwater,1
940.P.16.Fecal,catostomus sp,cypriniformes,fecal,detritivore_scavenger,freshwater,1
940.CR.52.Fecal,catostomus sp,cypriniformes,fecal,detritivore_scavenger,freshwater,1
940.CARP.10.Fecal,cyprinus carpio,cypriniformes,fecal,omnivore,freshwater,1
940.CR.29.Fecal,cyprinus carpio,cypriniformes,fecal,omnivore,freshwater,1
ERR526320,gasterosteus aculeatus,gasterosteiformes,intestine,omnivore,freshwater,1
ERR526353,gasterosteus aculeatus,gasterosteiformes,intestine,omnivore,freshwater,1
ERR526366,gasterosteus aculeatus,gasterosteiformes,intestine,omnivore,freshwater,1
ERR526380,gasterosteus aculeatus,gasterosteiformes,intestine,omnivore,freshwater,1
ERR526382,gasterosteus aculeatus,gasterosteiformes,intestine,omnivore,freshwater,1
894.F1455.lane5.NoIndex.L005,felis catus,carnivora,fecal,carnivore,terrestrial,1
894.F1454.lane5.NoIndex.L005,felis catus,carnivora,fecal,carnivore,terrestrial,1
894.F1453.lane5.NoIndex.L005,felis catus,carnivora,fecal,carnivore,terrestrial,1
894.UY730.lane3.NoIndex.L003,felis catus,carnivora,fecal,carnivore,terrestrial,1
SRR1523374,acinonyx jubatus,carnivora,fecal,carnivore,terrestrial,1
SRR1523378,acinonyx jubatus,carnivora,fecal,carnivore,terrestrial,1
SRR1523382,acinonyx jubatus,carnivora,fecal,carnivore,terrestrial,1
SRR1523384,acinonyx jubatus,carnivora,fecal,carnivore,terrestrial,1
SRR1523388,acinonyx jubatus,carnivora,fecal,carnivore,terrestrial,1
SRR1523390,acinonyx jubatus,carnivora,fecal,carnivore,terrestrial,1
SRR1523386,acinonyx jubatus,carnivora,fecal,carnivore,terrestrial,1
1734.LD.NBS1053E,desmodus rotundus,chiroptera,fecal,carnivore,terrestrial,1
1734.LD.NBS1084B,mormoops megalophylla,chiroptera,fecal,carnivore,terrestrial,1
1734.LD.NBS1069E,molossus sinaloae,chiroptera,fecal,carnivore,terrestrial,1
1056.Pri.max.Seat.2.13B02,priodontes maximus,cingulata,fecal,carnivore,terrestrial,1
1056.Pri.max.Seat.04J09,priodontes maximus,cingulata,fecal,carnivore,terrestrial,1
1056.Zae.pic.Mend.2,zaedyus pichiy,cingulata,fecal,carnivore,terrestrial,1
1056.Pri.max.Seat.2.02V07,priodontes maximus,cingulata,fecal,carnivore,terrestrial,1
ERR1306170,pheidole sp,hymenoptera,intestine,carnivore,terrestrial,1
ERR1306309,pachycondyla sp,hymenoptera,intestine,carnivore,terrestrial,1
ERR1720385,feniseca tarquinius,lepidoptera,intestine,carnivore,terrestrial,1
ERR1720386,feniseca tarquinius,lepidoptera,intestine,carnivore,terrestrial,1
ERR1720388,feniseca tarquinius,lepidoptera,stomach,carnivore,terrestrial,1
ERR1720389,feniseca tarquinius,lepidoptera,stomach,carnivore,terrestrial,1
ERR1720391,feniseca tarquinius,lepidoptera,stomach,carnivore,terrestrial,1
ERR1720392,feniseca tarquinius,lepidoptera,stomach,carnivore,terrestrial,1
ERR1720473,logania marmorata,lepidoptera,stomach,carnivore,terrestrial,1
ERR1720474,logania marmorata,lepidoptera,stomach,carnivore,terrestrial,1
ERR1720493,aloeides pallida,lepidoptera,stomach,carnivore,terrestrial,1
ERR1720512,lepidochrysops wykehami,lepidoptera,stomach,carnivore,terrestrial,1
ERR1720516,lepidochrysops wykehami,lepidoptera,stomach,carnivore,terrestrial,1
ERR1720517,lepidochrysops wykehami,lepidoptera,stomach,carnivore,terrestrial,1
ERR1720521,lepidochrysops wykehami,lepidoptera,intestine,carnivore,terrestrial,1
1056.Myr.tri.Seat.27.04K10,myrmecophaga tridactyla,pilosa,fecal,carnivore,terrestrial,1
1056.Myr.tri.Seat.20.04K11,myrmecophaga tridactyla,pilosa,fecal,carnivore,terrestrial,1
1056.Myr.tri.Seat.5.3502,myrmecophaga tridactyla,pilosa,fecal,carnivore,terrestrial,1
1056.Myr.tri.Seat.05D02,myrmecophaga tridactyla,pilosa,fecal,carnivore,terrestrial,1
SRR6075097,shinisaurus crocodilurus,squamata,fecal,carnivore,terrestrial,1
SRR6075100,shinisaurus crocodilurus,squamata,fecal,carnivore,terrestrial,1
