SampleID,cluster,bodymass,host_scientific_name,digestive_habitat_type,diet,surrounding_habitat,country,host_order,host_kingdom,host_phylum,host_class,host_family,host_genus,country,elevation_m,additional_microbial_habitat_info,lifestage,captive_wild,sampling_month,trophic_diet,preservation_method,extraction_method,biogeo_realm,PD_whole_tree,chao1,shannon,simpson,observed_otus,host_phylogeny_nDMSproxy,FID,latitiude,longitude,Site_ID,Bio1_2_5min,Bio2_2_5min,Bio3_2_5min,Bio4_2_5min,Bio5_2_5min,Bio6_2_5min,Bio7_2_5min,Bio8_2_5min,Bio9_2_5min,Bio10_2_5min,Bio11_2_5min,Bio12_2_5min,Bio13_2_5min,Bio14_2_5min,Bio15_2_5min,Bio16_2_5min,Bio17_2_5min,Bio18_2_5min,Bio19_2_5min,Vegetation_density,terrain_complexity,NDVI_Modis_1_mar.2018,Immune_Complexity_Ordinal,Immune_Complexity_Binary
SRR2121116,1,small,myodes glareolus,intestine,herbivore,terrestrial,poland,rodentia,animalia,chordata,mammalia,cricetidae,myodes,poland,220,none,adult,wild,september,1,direct_freeze,QIAamp_Dna_Stool_Mini_Kit_,palearctic,26.65788,223.0588235,5.807007876,0.96213,142,-0.278,842,50.06139,19.93831,99,9.112585551,8.702535217,28.63618315,789.085486,23.02715985,-7.362989706,30.39014955,18.64200342,0.582401966,18.64200342,-0.85771216,687.3759788,99.07375576,31.27355788,40.29529724,271.6669515,104.0276758,271.6669515,107.3268379,35,157.2839966,96,9,Adaptive
SRR2121131,1,small,myodes glareolus,intestine,herbivore,terrestrial,poland,rodentia,animalia,chordata,mammalia,cricetidae,myodes,poland,220,none,adult,wild,september,1,direct_freeze,QIAamp_Dna_Stool_Mini_Kit_,palearctic,26.93294,180.3703704,5.524332342,0.95611,135,-0.278,857,50.06139,19.93831,99,9.112585551,8.702535217,28.63618315,789.085486,23.02715985,-7.362989706,30.39014955,18.64200342,0.582401966,18.64200342,-0.85771216,687.3759788,99.07375576,31.27355788,40.29529724,271.6669515,104.0276758,271.6669515,107.3268379,35,157.2839966,96,9,Adaptive
SRR2121090,1,small,myodes glareolus,intestine,herbivore,terrestrial,poland,rodentia,animalia,chordata,mammalia,cricetidae,myodes,poland,220,none,adult,wild,september,1,direct_freeze,QIAamp_Dna_Stool_Mini_Kit_,palearctic,28.07262,232.5,5.486475679,0.95142,141,-0.278,816,50.06139,19.93831,99,9.112585551,8.702535217,28.63618315,789.085486,23.02715985,-7.362989706,30.39014955,18.64200342,0.582401966,18.64200342,-0.85771216,687.3759788,99.07375576,31.27355788,40.29529724,271.6669515,104.0276758,271.6669515,107.3268379,35,157.2839966,96,9,Adaptive
SRR4289938,1,small,ochotona princeps,fecal,herbivore,terrestrial,usa,lagomorpha,animalia,chordata,mammalia,ochotonidae,ochotona,usa,438,none,adult,wild,NA,1,direct_freeze,QIAamp_Dna_Stool_Mini_Kit_,nearctic,41.88483,449.6206897,7.206939636,0.985294,289,-0.278,964,45.687,-121.787,92,7.797730547,9.23253128,36.1736826,599.7048391,19.89464464,-5.631571496,25.52621614,1.401431102,15.17468896,15.33502545,0.729689185,1751.167808,291.253312,22.950656,66.01346031,833.798592,119.691968,125.266624,784.36928,100,139925,189,9,Adaptive
SRR4290013,1,small,ochotona princeps,fecal,herbivore,terrestrial,usa,lagomorpha,animalia,chordata,mammalia,ochotonidae,ochotona,usa,438,none,adult,wild,NA,1,direct_freeze,QIAamp_Dna_Stool_Mini_Kit_,nearctic,31.04132,284,5.665948685,0.950186,179,-0.278,1009,45.687,-121.787,92,7.797730547,9.23253128,36.1736826,599.7048391,19.89464464,-5.631571496,25.52621614,1.401431102,15.17468896,15.33502545,0.729689185,1751.167808,291.253312,22.950656,66.01346031,833.798592,119.691968,125.266624,784.36928,100,139925,189,9,Adaptive
SRR4289942,1,small,ochotona princeps,fecal,herbivore,terrestrial,usa,lagomorpha,animalia,chordata,mammalia,ochotonidae,ochotona,usa,438,none,adult,wild,NA,1,direct_freeze,QIAamp_Dna_Stool_Mini_Kit_,nearctic,35.99676,382.775,6.755733819,0.978846,241,-0.278,968,45.687,-121.787,92,7.797730547,9.23253128,36.1736826,599.7048391,19.89464464,-5.631571496,25.52621614,1.401431102,15.17468896,15.33502545,0.729689185,1751.167808,291.253312,22.950656,66.01346031,833.798592,119.691968,125.266624,784.36928,100,139925,189,9,Adaptive
SRR4289986,1,small,ochotona princeps,fecal,herbivore,terrestrial,usa,lagomorpha,animalia,chordata,mammalia,ochotonidae,ochotona,usa,438,none,adult,wild,NA,1,direct_freeze,QIAamp_Dna_Stool_Mini_Kit_,nearctic,40.11635,449.8421053,6.744795661,0.970068,284,-0.278,990,45.687,-121.787,92,7.797730547,9.23253128,36.1736826,599.7048391,19.89464464,-5.631571496,25.52621614,1.401431102,15.17468896,15.33502545,0.729689185,1751.167808,291.253312,22.950656,66.01346031,833.798592,119.691968,125.266624,784.36928,100,139925,189,9,Adaptive
SRR4289992,1,small,ochotona princeps,fecal,herbivore,terrestrial,usa,lagomorpha,animalia,chordata,mammalia,ochotonidae,ochotona,usa,438,none,adult,wild,NA,1,direct_freeze,QIAamp_Dna_Stool_Mini_Kit_,nearctic,39.32718,347.5609756,6.750041215,0.973376,234,-0.278,996,45.687,-121.787,92,7.797730547,9.23253128,36.1736826,599.7048391,19.89464464,-5.631571496,25.52621614,1.401431102,15.17468896,15.33502545,0.729689185,1751.167808,291.253312,22.950656,66.01346031,833.798592,119.691968,125.266624,784.36928,100,139925,189,9,Adaptive
SRR4289945,1,small,ochotona princeps,fecal,herbivore,terrestrial,usa,lagomorpha,animalia,chordata,mammalia,ochotonidae,ochotona,usa,438,none,adult,wild,NA,1,direct_freeze,QIAamp_Dna_Stool_Mini_Kit_,nearctic,32.99258,239.95,5.869382365,0.945252,183,-0.278,971,45.687,-121.787,92,7.797730547,9.23253128,36.1736826,599.7048391,19.89464464,-5.631571496,25.52621614,1.401431102,15.17468896,15.33502545,0.729689185,1751.167808,291.253312,22.950656,66.01346031,833.798592,119.691968,125.266624,784.36928,100,139925,189,9,Adaptive
SRR4289985,1,small,ochotona princeps,fecal,herbivore,terrestrial,usa,lagomorpha,animalia,chordata,mammalia,ochotonidae,ochotona,usa,438,none,adult,wild,NA,1,direct_freeze,QIAamp_Dna_Stool_Mini_Kit_,nearctic,38.76126,386.4897959,6.699552203,0.978732,248,-0.278,989,45.687,-121.787,92,7.797730547,9.23253128,36.1736826,599.7048391,19.89464464,-5.631571496,25.52621614,1.401431102,15.17468896,15.33502545,0.729689185,1751.167808,291.253312,22.950656,66.01346031,833.798592,119.691968,125.266624,784.36928,100,139925,189,9,Adaptive
SRR4289973,1,small,ochotona princeps,fecal,herbivore,terrestrial,usa,lagomorpha,animalia,chordata,mammalia,ochotonidae,ochotona,usa,438,none,adult,wild,NA,1,direct_freeze,QIAamp_Dna_Stool_Mini_Kit_,nearctic,38.8162,371.5384615,6.534929616,0.961254,252,-0.278,977,45.687,-121.787,92,7.797730547,9.23253128,36.1736826,599.7048391,19.89464464,-5.631571496,25.52621614,1.401431102,15.17468896,15.33502545,0.729689185,1751.167808,291.253312,22.950656,66.01346031,833.798592,119.691968,125.266624,784.36928,100,139925,189,9,Adaptive
SRR4289967,1,small,ochotona princeps,fecal,herbivore,terrestrial,usa,lagomorpha,animalia,chordata,mammalia,ochotonidae,ochotona,usa,438,none,adult,wild,NA,1,direct_freeze,QIAamp_Dna_Stool_Mini_Kit_,nearctic,39.81843,313.5538462,7.216617804,0.988582,256,-0.278,976,45.687,-121.787,92,7.797730547,9.23253128,36.1736826,599.7048391,19.89464464,-5.631571496,25.52621614,1.401431102,15.17468896,15.33502545,0.729689185,1751.167808,291.253312,22.950656,66.01346031,833.798592,119.691968,125.266624,784.36928,100,139925,189,9,Adaptive
