scientific_name,"Body
mass, g",Length m,"Species
Common name",science_name,Order,Family,"SI length,
cm","SI NSA,
cm2",Source
lycaenidae,,,,,,,,,
jalmenus daemeli,,,,,,,,,
spodoptera latifascia,,,,,,,,,
titaea tamerlan,,,,,,,,,
anthene sp,,,,,,,,,
zaedyus pichiy,1380,,,,,,,,
lycaena clarki,,,,,,,,,
chrysoritis chrysantas,,,,,,,,,
peropteryx kappleri,9.4,,,,,,,,
pteronotus davyi,9.2,,,,,,,,
mormoops megalophylla,16,,,,,,,,
carollia sowelli,,,,,,,,,
surendra vivarna,,,,,,,,,
thraupis palmarum,15.91,,,,,,,,
dendropsophus minutus,,,,,,,,,
priodontes maximus,45360,,,,,,,,
syssphinx colla,,,,,,,,,
lachnocnema bibulus,,,,,,,,,
gila robusta,,0.43,,,,,,,
hypsiboas faber,,,,,,,,,
scinax hayii,,,,,,,,,
scinax littoralis,,,,,,,,,
hylodes asper,,,,,,,,,
pteronotus parnellii,20.1,,"Parnell's moustached
bat",pteronotus parnellii,Chiroptera,Mormoopidae,14.7,7.04,"57, 58"
glossophaga soricina,10.2,,"Pallas's long-tongued
bat",glossophaga soricina,Chiroptera,Phyllostomidae,11.75,,57
myotis elegans,25.5,,,,,,,,
felis catus,3628,,,,,,,,
scinax fuscovarius,,,,,,,,,
dendropsophus sanborni,,,,,,,,,
turdus olivater,77,,,,,,,,
edales pandava,,,,,,,,,
miletus biggsii,,,,,,,,,
axiocerses thyra,,,,,,,,,
eumaeus atala,,,,,,,,,
hylodes phyllodes,,,,,,,,,
cycloramphus boraceiensis,,,,,,,,,
phasmahyla cruzi,,,,,,,,,
thraupis gaucocolpa,,,,,,,,,
platycichla flavipes,,,,,,,,,
dromaius novaehollandiae,40000,,,,,,,,
durbania amakosa,,,,,,,,,
flos apidanus,,,,,,,,,
neotoma lepida,164,,,,,,,,
cyprinus carpio,40100,,,,,,,,
sturnira lilium,19.35,,"Little yellow
shouldered bat",sturnira lilium,Chiroptera,Phyllostomidae,21.8,9.58,"57, 58"
logania marmorata,,,,,,,,,
ramphocelus carbo,14.14,,,,,,,,
zonotrichia capensis,,,,,,,,,
spalgis epeus,,,,,,,,,
rothschildia lebeau,,,,,,,,,
citheronia lobesis,,,,,,,,,
bos taurus,618642.42,,,,,,,,
thoropa taophora,,,,,,,,,
thestor yildizae,,,,,,,,,
saltator maximus,16.78,,,,,,,,
trichosurus caninus,,,,,,,,,
chiroxiphia lanceolata,,,,,,,,,
macropus sp,25875,,,,,,,,
lepidochrysops wykehami,,,,,,,,,
eacles imperialis,,,,,,,,,
feniseca tarquinius,,,,,,,,,
acinonyx jubatus,50000,,,,,,,,
anser indicus,3000,,,,,,,,
teuchestes fossor,,,,,,,,,
iguana iguana,5000,,,,,,,,
physalaemus cuvieri,,,,,,,,,
myrmecophaga tridactyla,22333,,,,,,,,
neotoma albigula,206,,,,,,,,
maculinea alcon,,,,,,,,,
hypsiboas albomarginatus,,,,,,,,,
canus lupus familiaris,31751,,,,,,,,
boophis sp,,,,,,,,,
columbina passerina,15.49,,,,,,,,
alouatta pigra,7000,,,,,,,,
jalmenus evagoras,,,,,,,,,
shinisaurus crocodilurus,,0.0348,,,,,,,
ochotona princeps,158,,,,,,,,
rhinopithecus brelichi,,,,,,,,,
anthene usamba,,,,,,,,,
columbina talpacoti,16.63,,,,,,,,
gasterosteus aculeatus,,0.11,,,,,,,
ovis aries,50000,,,,,,,,
eulemur rubriventer,1400,,,,,,,,
rusa unicolor,169000,,,,,,,,
vombatidae,,,,,,,,,
oryctolagus cuniculus,1580,,,,,,,,
nepenthes rafflesiana,,,,,,,,,
vulpes vulpes,6320,,Red fox,vulpes vulpes,Carnivora,Canidae,210,939.2,"32, 34"
myodes glareolus,21.2,,,,,,,,
catostomus sp,,,,,,,,,
ursus americanus americanus,99949,,,,,,,,
apis mellifera,,,,,,,,,
alouatta palliata,7275,,,,,,,,
homo sapiens,70000,,Human,homo sapiens,Primates,Hominidae,600,5897.5,"33, 34, 41, 42"
