Table 2. Small intestine (SI) length and nominal surface area (NSA) of omnivorous birds and eutherian mammals [common names,,,,,,,
were extracted from the Integrated Taxonomic Information System (ITIS; www.itis.gov) and ref. 1],,,,,,,
"Species
Common name",science_name,Order,Family,"Body
mass, g","SI length,
cm","SI NSA,
cm2",Source
"Grey-cheeked
mangabey",Cercocebus albigena,Primates,Cercopithecidae,3700,,453,32
,,,,,,,
Caviedes-Vidal et al.,Table 2,,,5,,,
"Species
Common name",Scientific name,Order,Family,"Body
mass, g","SI length,
cm","SI NSA,
cm2",Source
Vervet monkey,"Cercopithecus
aethiops",Primates,Cercopithecidae,4700,,643.5,39
"Western black-and-
white colobus",Colobus polykomos,Primates,Cercopithecidae,6500,,925,32
Long-tailed macaque,Macaca fascicularis,Primates,Cercopithecidae,3216.7,,1024.3,32
Rhesus macaque,Macaca mulatta,Primates,Cercopithecidae,13885,,768.67,"32, 40"
Talapoin monkey,Miopithecus talapoin,Primates,Cercopithecidae,915,,522.5,32
Mandrill,Papio sphinx,Primates,Cercopithecidae,14450,,2644.5,32
Greater dwarf lemur,Cheirogaleus major,Primates,Cheirogaleidae,230,,42,32
Fork-crowned lemur,Phaner furcifer,Primates,Cheirogaleidae,270,,95,32
"Demidoff 's dwarf
bushbaby",Galago demidovii,Primates,Galagonidae,60,,36,32
Human,Homo sapiens,Primates,Hominidae,"70,000-
78,300",600,5897.5,"33, 34, 41, 42"
Calabar potto,"Arctocebus
calabarensis",Primates,Loridae,176.7,,103,32
Potto,Perodicticus potto,Primates,Loridae,1160,,200,32
"Northern jumping
mouse",Zapus hudsonius,Rodentia,Dipodidae,20,,23,43
Spiny mouse,Acomys spinosissimus,Rodentia,Muridae,17.2,25.99,20.53,44
"Cape short-eared
gerbil","Desmodillus
auricularis",Rodentia,Muridae,86.2,37.51,,44
"Griselda's striped
grass mouse",Lemniscomys griselda,Rodentia,Muridae,54.9,24.38,29.99,44
Gerbil,"Meriones
unguiculatus",Rodentia,Muridae,70.1,30.5,34.3,"33, 36"
Syrian hamster,Mesocricetus auratus,Rodentia,Muridae,122.6,41,56.7,"33, 35, 36, 46,
47"
Harvest mouse,Micromys minutus,Rodentia,Muridae,8.9,,14.2,33
Pygmy mouse,Mus minutoides,Rodentia,Muridae,4.7,17.45,13.96,44
,,,,,,,
Caviedes-Vidal et al.,Table 2,,,6,,,
"Species
Common name",Scientific name,Order,Family,"Body
mass, g","SI length,
cm","SI NSA,2cm",Source
Mouse,Mus musculus,Rodentia,Muridae,38.2,45,43,"33, 34, 48; R."
,,,,,,,Ferraris and
,,,,,,,"J.M. Diamond,"
,,,,,,,personal
,,,,,,,communication
"Long-tailed deer
mouse",Peromyscus leucopus,Rodentia,Muridae,25,,39,43
Woodland deer mouse,"Peromyscus
maniculatus",Rodentia,Muridae,20,,24,43
Laboratory rat,Rattus norvegicus,Rodentia,Muridae,305,95.1,119.2,"4, 33-35, 49-53"
House rat,Rattus rattus,Rodentia,Muridae,105.2,95.64,,44
"Four-striped grass
mouse",Rhabdomys pumilio,Rodentia,Muridae,46.2,29.35,32.29,44
Acacia rat,Thallomys paedulcus,Rodentia,Muridae,55.2,31.3,36,44
Nutria,Myocastor coypus,Rodentia,Myocastoridae,5358.4,,1040.1,"33, 36, 54"
Woodland dormouse,Graphiurus murinus,Rodentia,Myoxidae,20.9,17.01,17.01,44
Pouched mouse,"Saccostomus
campestris",Rodentia,Nesomyidae,82.9,38.93,51.78,44
Fat mouse,Steatomys pratensis,Rodentia,Nesomyidae,31.5,25.69,23.12,44
Ebien squirrel,Epixerus ebii,Rodentia,Sciuridae,560,,208.5,32
