"Species
Common name",science_name,Order,Family,"Body
mass, g","SI length,
cm","SI NSA,
cm2",Source
Greater bulldog bat,noctilio leporinus,Chiroptera,Noctilionidae,59.2,34.2,,57
Large slit-faced bat,nycteris grandis,Chiroptera,Nycteridae,29.4,24.3,,55
"Egyptian slit-faced
bat",nycteris thebaica,Chiroptera,Nycteridae,8.95,11.7,,55
"Geoffrey's hairy-
legged bat",anoura geoffroyi,Chiroptera,Phyllostomidae,15.5,,7.37,58
"Fringed fruit-eating
bat",artibeus fimbriatus,Chiroptera,Phyllostomidae,63.9,34.68,,57
"Jamaican fruit-eating
bat",artibeus jamaicensis,Chiroptera,Phyllostomidae,39.3,31.3,,55
Great fruit-eating bat,artibeus lituratus,Chiroptera,Phyllostomidae,69.6,42.18,28.7,"57, This study"
"Antillean fruit-eating
bat","brachyphylla
cavernarum",Chiroptera,Phyllostomidae,46.8,30.3,,55
Silky short-tailed bat,carollia brevicauda,Chiroptera,Phyllostomidae,17.2,,7.5,58
Short-tailed bat,carollia perspicillata,Chiroptera,Phyllostomidae,16.1,20.85,,"56, 57"
Wrinkle-faced bat,centurio senex,Chiroptera,Phyllostomidae,26,,15.01,58
,,,,,,,
Caviedes-Vidal et al.,table 2,,,8,,,
"Species
Common name",scientific name,Order,Family,"Body
mass, g","SI length,
cm","SI NSA,2cm",Source
Salvin's big-eyed bat,chiroderma salvini,Chiroptera,Phyllostomidae,25,,11.77,58
Hairy big-eyed bat,chiroderma villosum,Chiroptera,Phyllostomidae,24.8,37,,55
"Godman's long-tailed
bat","choeroniscus
godmani",Chiroptera,Phyllostomidae,10.1,,3.89,58
Big-eared woolly bat,chrotopterus auritus,Chiroptera,Phyllostomidae,96.1,32,,57
Toltec fruit-eating bat,dermanura tolteca,Chiroptera,Phyllostomidae,15.2,,7.76,58
Vampire bat,desmodus rotundus,Chiroptera,Phyllostomidae,29,26.95,14.02,"57, 58"
"Hairy-legged vampire
bat",diphylla ecaudata,Chiroptera,Phyllostomidae,27.8,20.5,,57
"Pallas's long-tongued
bat",glossophaga soricina,Chiroptera,Phyllostomidae,10.2,11.75,,57
Lesser long-nosed bat,"leptonycteris
curasoae",Chiroptera,Phyllostomidae,24.8,18,8.48,"57, 58"
"Waterhouse's leaf-
nosed bat",macrotus waterhousii,Chiroptera,Phyllostomidae,18.9,,7.59,58
Pale spear-nosed bat,phyllostomus discolor,Chiroptera,Phyllostomidae,41.5,,14.9,58
"Greater spear-nosed
bat",phyllostomus hastatus,Chiroptera,Phyllostomidae,87.1,38,,57
